Sample ID,Cruise ID,Station,Polymer,Depth_label,Depth(m),Timepoint,replicate_timepoint,incubation_time(hours),Date_inject,volume_inject_uL,Area,CO2_area_nmol,headspace_volume,CO2_in_bottle_umol,delta_13C,co2_average,co2_stdev,mean_delta_13C,sd_delta_13c
N2104114,PE480,st04,PP,D06,NA,t3,1,144,4/14/2021,50,3104.3,70.16,45,63.144,-8.703,60.0345,5.477432336414572,105.0115,131.3104384515311
N2104115,PE480,st04,PP,D06,NA,t3,1,144,4/15/2021,50,3125.7,70.64,45,63.576,-8.703,60.0345,5.477432336414572,105.0115,131.3104384515311
N2104116,PE480,st04,PP,D06,NA,t3,2,144,4/15/2021,50,2553.1,57.7,45,51.93,220.019,60.0345,5.477432336414572,105.0115,131.3104384515311
N2104117,PE480,st04,PP,D06,NA,t3,3,144,4/15/2021,50,3023.2,68.32,45,61.488,217.433,60.0345,5.477432336414572,105.0115,131.3104384515311
N2104145,PE480,st04,PP,D06,NA,t2,1,72,4/16/2021,50,3260.7,73.69,45,66.321,291.044,67.14,0.7427590457207491,227.965,54.661379153841324
N2104146,PE480,st04,PP,D06,NA,t2,2,72,4/16/2021,50,3310,74.81,45,67.329,198.335,67.14,0.7427590457207491,227.965,54.661379153841324
N2104147,PE480,st04,PP,D06,NA,t2,3,72,4/16/2021,50,3331.8,75.3,45,67.77,194.516,67.14,0.7427590457207491,227.965,54.661379153841324
N2104054,PE480,st04,PP,D07,NA,t1,1,24,4/12/2021,50,3282.1,74.18,45,66.762,351.834,64.30799999999999,2.2325866164608272,210.96933333333334,125.8304733255555
N2104057,PE480,st04,PP,D07,NA,t1,2,24,4/12/2021,50,3134.8,70.85,45,63.765,171.378,64.30799999999999,2.2325866164608272,210.96933333333334,125.8304733255555
N2104060,PE480,st04,PP,D07,NA,t1,3,24,4/13/2021,50,3067.7,69.33,45,62.397,109.696,64.30799999999999,2.2325866164608272,210.96933333333334,125.8304733255555
N2104109,PE480,st04,PP,D07,NA,t3,1,144,4/14/2021,50,3011.3,68.06,45,61.254,185.33,64.095,2.685174296018787,183.62800000000001,6.874869307848686
N2104111,PE480,st04,PP,D07,NA,t3,2,144,4/14/2021,50,3274.1,73.99,45,66.591,189.492,64.095,2.685174296018787,183.62800000000001,6.874869307848686
N2104112,PE480,st04,PP,D07,NA,t3,3,144,4/14/2021,50,3168,71.6,45,64.44,176.062,64.095,2.685174296018787,183.62800000000001,6.874869307848686
N2104142,PE480,st04,PP,D07,NA,t2,1,72,4/16/2021,50,3249.9,73.45,45,66.105,159.686,67.302,2.1516777175032504,182.565,61.25267439875585
N2104143,PE480,st04,PP,D07,NA,t2,2,72,4/16/2021,50,3430.8,77.54,45,69.786,136.045,67.302,2.1516777175032504,182.565,61.25267439875585
N2104144,PE480,st04,PP,D07,NA,t2,3,72,4/16/2021,50,3245.6,73.35,45,66.015,251.964,67.302,2.1516777175032504,182.565,61.25267439875585
N2104049,PE480,st04,PP,D08,NA,t1,1,24,4/12/2021,50,3172.4,71.7,45,64.53,93.594,63.156,1.9029272187868873,170.36033333333333,129.49393499439788
N2104052,PE480,st04,PP,D08,NA,t1,2,24,4/12/2021,50,3144.4,71.06,45,63.954,319.869,63.156,1.9029272187868873,170.36033333333333,129.49393499439788
N2104053,PE480,st04,PP,D08,NA,t1,3,24,4/12/2021,50,2998.4,67.76,45,60.984,97.618,63.156,1.9029272187868873,170.36033333333333,129.49393499439788
N2104103,PE480,st04,PP,D08,NA,t3,1,144,4/14/2021,50,3175.7,71.77,45,64.593,125.984,62.79,1.6854367386526286,138.07999999999998,10.49431050617429
N2104106,PE480,st04,PP,D08,NA,t3,2,144,4/14/2021,50,3074.1,69.47,45,62.523,143.499,62.79,1.6854367386526286,138.07999999999998,10.49431050617429
N2104107,PE480,st04,PP,D08,NA,t3,3,144,4/14/2021,50,3011.3,68.06,45,61.254,144.757,62.79,1.6854367386526286,138.07999999999998,10.49431050617429
N2104139,PE480,st04,PP,D08,NA,t2,1,72,4/15/2021,50,2640.3,59.67,45,53.703,125.982,61.224,6.514348547629299,130.41,25.97759875354149
N2104140,PE480,st04,PP,D08,NA,t2,2,72,4/16/2021,50,3200.3,72.33,45,65.097,106.931,61.224,6.514348547629299,130.41,25.97759875354149
N2104141,PE480,st04,PP,D08,NA,t2,3,72,4/16/2021,50,3189.2,72.08,45,64.872,158.317,61.224,6.514348547629299,130.41,25.97759875354149
N2104027,PE480,st04,PP,D09,NA,t1,1,24,4/9/2021,20,1086.9,24.56,45,55.26,104.809,65.78999999999999,17.426507825723434,155.089,78.57482825943687
N2104028,PE480,st04,PP,D09,NA,t1,2,24,4/9/2021,20,1689.4,38.18,45,85.905,245.635,65.78999999999999,17.426507825723434,155.089,78.57482825943687
N2104029,PE480,st04,PP,D09,NA,t1,3,24,4/9/2021,20,1105.5,24.98,45,56.205,114.823,65.78999999999999,17.426507825723434,155.089,78.57482825943687
N2104097,PE480,st04,PP,D09,NA,t3,1,144,4/14/2021,50,3108.3,70.25,45,63.225,152.79,66.231,3.9494210968191243,157.37733333333333,6.274804326298417
N2104100,PE480,st04,PP,D09,NA,t3,2,144,4/14/2021,50,3184.1,71.96,45,64.764,154.814,66.231,3.9494210968191243,157.37733333333333,6.274804326298417
N2104101,PE480,st04,PP,D09,NA,t3,3,144,4/14/2021,50,3475.9,78.56,45,70.704,164.528,66.231,3.9494210968191243,157.37733333333333,6.274804326298417
N2104136,PE480,st04,PP,D09,NA,t2,1,72,4/15/2021,50,2821.3,63.76,45,57.384,122.921,62.673,6.7672359941116325,179.81233333333333,94.96392654757558
N2104137,PE480,st04,PP,D09,NA,t2,2,72,4/15/2021,50,3456.1,78.11,45,70.299,289.441,62.673,6.7672359941116325,179.81233333333333,94.96392654757558
N2104138,PE480,st04,PP,D09,NA,t2,3,72,4/15/2021,50,2966.2,67.04,45,60.336,127.075,62.673,6.7672359941116325,179.81233333333333,94.96392654757558
N2104019,PE480,st04,PP,-,10,t0,1,0,4/9/2021,20,1002.4,22.65,45,50.9625,292.221,55.656,2.913841214788479,296.6426,17.296622800419733
N2104020,PE480,st04,PP,-,10,t0,2,0,4/9/2021,20,1104.4,24.96,45,56.16,311.246,55.656,2.913841214788479,296.6426,17.296622800419733
N2104021,PE480,st04,PP,-,10,t0,3,0,4/9/2021,20,1099.8,24.86,45,55.935,270.914,55.656,2.913841214788479,296.6426,17.296622800419733
N2104022,PE480,st04,PP,-,10,t0,4,0,4/9/2021,20,1160.8,26.23,45,59.0175,313.931,55.656,2.913841214788479,296.6426,17.296622800419733
